Precision,Recall,F1 Score,Number of examples,Margin,Clauses,Specificity,Accumulation
0.649856087,0.481383234,0.552780697,100,50,15,2.5,10
0.598409744,0.508999487,0.548053483,100,50,15,2.5,31
0.591693231,0.432954249,0.498386892,100,50,15,2.5,52
0.612723489,0.469704818,0.530363278,100,50,15,2.5,73
0.615815589,0.154828908,0.243403203,100,50,15,8.333333333,10
0.71163784,0.262651949,0.377705136,100,50,15,8.333333333,31
0.74777891,0.311002103,0.432565181,100,50,15,8.333333333,52
0.700708722,0.297460154,0.414480841,100,50,15,8.333333333,73
0.651423107,0.096296696,0.162775767,100,50,15,14.16666667,10
0.716528229,0.218697481,0.331076704,100,50,15,14.16666667,31
0.55379853,0.162844059,,100,50,15,14.16666667,52
0.845233578,0.437024457,0.574627173,100,50,15,14.16666667,73
0.502921118,0.028154766,0.052282591,100,50,15,20,10
0.712429818,0.274095326,0.381228468,100,50,15,20,31
,,,100,50,15,20,52
0.868131126,0.360081075,0.503762887,100,50,15,20,73
0.629122859,0.347286071,0.447384051,100,50,93,2.5,10
0.526858489,0.440773372,0.479855972,100,50,93,2.5,31
0.556721576,0.456900235,0.501248768,100,50,93,2.5,52
0.617322042,0.470240136,0.533078498,100,50,93,2.5,73
0.613390326,0.086978619,0.151596387,100,50,93,8.333333333,10
0.691834493,0.212886394,0.322987638,100,50,93,8.333333333,31
0.67515004,0.248707986,0.360251456,100,50,93,8.333333333,52
0.731357324,0.280909023,0.404313813,100,50,93,8.333333333,73
0.673601542,0.089467716,0.156910768,100,50,93,14.16666667,10
0.697049944,0.187535276,0.294753437,100,50,93,14.16666667,31
0.714331074,0.201184377,0.312723311,100,50,93,14.16666667,52
0.737675199,0.254129307,0.376314248,100,50,93,14.16666667,73
0.591839656,0.048786885,0.089095882,100,50,93,20,10
0.718341329,0.152241629,0.245576801,100,50,93,20,31
0.773085496,0.189488889,0.301583871,100,50,93,20,52
0.73906593,0.203663082,0.317134862,100,50,93,20,73
0.614077366,0.302990935,0.405569727,100,50,171,2.5,10
0.559444419,0.346387931,0.427543679,100,50,171,2.5,31
0.519977376,0.389087789,0.444638904,100,50,171,2.5,52
0.553076325,0.417070967,0.475374139,100,50,171,2.5,73
0.63899471,0.102982676,0.176217208,100,50,171,8.333333333,10
0.6634516,0.168467903,0.266742011,100,50,171,8.333333333,31
0.644398238,0.229623207,0.337508167,100,50,171,8.333333333,52
0.657490881,0.230300628,0.340248747,100,50,171,8.333333333,73
0.677937539,0.065764489,0.118310773,100,50,171,14.16666667,10
0.738324427,0.202608958,0.317415917,100,50,171,14.16666667,31
0.671980108,0.21669208,0.325832766,100,50,171,14.16666667,52
0.710616239,0.243390279,0.361881435,100,50,171,14.16666667,73
0.651202016,0.051069366,0.093424916,100,50,171,20,10
0.656414057,0.128138305,0.211951687,100,50,171,20,31
0.710997588,0.187588972,0.292982996,100,50,171,20,52
0.755941271,0.213340975,0.330748287,100,50,171,20,73
0.568149629,0.200778607,0.295672753,100,50,249,2.5,10
0.514949471,0.333052747,0.4041126,100,50,249,2.5,31
0.49601695,0.341732581,0.404157664,100,50,249,2.5,52
0.529555801,0.356347309,0.425756661,100,50,249,2.5,73
0.580863605,0.065420652,0.117052913,100,50,249,8.333333333,10
0.594172219,0.139117349,0.223943432,100,50,249,8.333333333,31
0.601615677,0.190454965,0.288689077,100,50,249,8.333333333,52
0.596296885,0.216821328,0.316782642,100,50,249,8.333333333,73
