Precision,Recall,F1 Score,Test Precision,Test Recall,Test F1,Number of examples,Margin,Clauses,Specificity,Accumulation,Max_included_literals,,,,,,,,,,
0.867183107,0.349640129,0.496529556,0.818799515,0.297539175,0.435865997,250,50,15,2.5,5,3,,,,,,,,,,
0.860926456,0.614869129,0.717228045,0.85401924,0.552379722,0.670842836,250,50,15,2.5,5,11,,,,,,,,,,
0.861792097,0.456644447,0.595747075,0.846774325,0.44389811,0.582404198,250,50,15,2.5,5,19,,,,,,,,,,
0.79902286,0.501850704,0.614296225,0.705381177,0.352498538,0.469833805,250,50,15,2.5,27,3,,,,,,,,,,
0.831611808,0.475105066,0.603971429,0.733309852,0.382826688,0.50254908,250,50,15,2.5,27,11,,,,,,,,,,
0.832979048,0.463849837,0.593904415,0.696165316,0.286207267,0.404749752,250,50,15,2.5,27,19,,,,,Examples,Margin,Clauses,Specificity,Accumulation,max_literals
0.853981562,0.648514297,0.737083565,0.601492719,0.367946206,0.456195117,250,50,15,2.5,49,3,,,,Train,0.05,0.07,-0.08,-0.75,0.50,-0.07
0.912410812,0.466240433,0.614165943,0.747303694,0.246963118,0.371101824,250,50,15,2.5,49,11,,,,Test,0.06,0.06,0.01,-0.89,-0.07,-0.03
0.861435831,0.531253155,0.65668379,0.727710659,0.323864448,0.44735713,250,50,15,2.5,49,19,,,,,,,,,,
0.759629956,0.089285428,0.15109073,0.562921639,0.038135362,0.070472144,250,50,15,11.25,5,3,,,,,,,,,,
0.808024071,0.122424411,0.212449511,0.763928123,0.095630595,0.169209176,250,50,15,11.25,5,11,,,,,,,,,,
0.887360084,0.129736415,0.219651386,0.727556704,0.110886462,0.192310713,250,50,15,11.25,5,19,,,,,,,,,,
0.941499394,0.250194874,0.392813502,0.658423636,0.054387759,0.100287429,250,50,15,11.25,27,3,,,,,,,,,,
0.827376141,0.288541775,0.426604416,0.467866399,0.09596381,0.15480879,250,50,15,11.25,27,11,,,,,,,,,,
0.913109158,0.247864318,0.385161047,0.666286802,0.079453471,0.14155425,250,50,15,11.25,27,19,,,,,,,,,,
0.91560043,0.406653228,0.558217321,0.588546228,0.140608972,0.226424556,250,50,15,11.25,49,3,,,,,,,,,,
0.912157223,0.400489895,0.543960876,0.596687497,0.101979987,0.173575081,250,50,15,11.25,49,11,,,,,,,,,,
0.922910457,0.394347306,0.547923428,0.487099292,0.063942962,0.112385917,250,50,15,11.25,49,19,,,,,,,,,,
0.739882008,0.067202633,0.122917012,0.631217537,0.025198799,0.048293709,250,50,15,20,5,3,,,,,,,,,,
0.802344089,0.103526157,0.179819864,0.574736993,0.025665585,0.049014199,250,50,15,20,5,11,,,,,,,,,,
0.876112364,0.081988433,0.149638603,0.618789704,0.084672317,0.147711033,250,50,15,20,5,19,,,,,,,,,,
0.905262468,0.201486187,0.326209052,0.758345052,0.054296402,0.101173175,250,50,15,20,27,3,,,,,,,,,,
0.917630026,0.22206929,0.351946892,0.559490938,0.048171617,0.08804517,250,50,15,20,27,11,,,,,,,,,,
0.864257458,0.160088804,0.263564147,0.385712624,0.019460339,0.037003126,250,50,15,20,27,19,,,,,,,,,,
0.966824917,0.278171391,0.427931499,0.891930421,0.071038106,0.131415144,250,50,15,20,49,3,,,,,,,,,,
0.910043411,0.335071578,0.485913938,0.686362382,0.033597792,0.063805732,250,50,15,20,49,11,,,,,,,,,,
0.896879623,0.213832407,0.335945533,0.673719284,0.05212556,0.096550751,250,50,15,20,49,19,,,,,,,,,,
0.795130088,0.424367471,0.552982027,0.762477541,0.388033545,0.514065022,250,50,57,2.5,5,3,,,,,,,,,,
0.805511323,0.442303619,0.570040193,0.791310172,0.422620109,0.550863283,250,50,57,2.5,5,11,,,,,,,,,,
0.827075102,0.443345568,0.574894716,0.813416357,0.431014056,0.562835404,250,50,57,2.5,5,19,,,,,,,,,,
0.803251868,0.509719496,0.622798553,0.679618351,0.370504992,0.479476057,250,50,57,2.5,27,3,,,,,,,,,,
0.813511365,0.469992065,0.595036252,0.737812751,0.374062367,0.496331126,250,50,57,2.5,27,11,,,,,,,,,,
0.810484302,0.431748281,0.562580315,0.717575398,0.3245261,0.446898314,250,50,57,2.5,27,19,,,,,,,,,,
0.793805336,0.557225704,0.654415643,0.644814688,0.329926946,0.436409053,250,50,57,2.5,49,3,,,,,,,,,,
0.818375992,0.515830486,0.63210383,0.692034472,0.321646,0.438985604,250,50,57,2.5,49,11,,,,,,,,,,
0.836687352,0.509468361,0.632893145,0.711406828,0.325747714,0.446801119,250,50,57,2.5,49,19,,,,,,,,,,
