Precision,Recall,F1 Score,Number of examples,Margin,Clauses,Specificity,Accumulation,Number of Examples norm,Margin norm,Clauses norm,Specificity norm,Accumulation norm
0.81,0.48,0.61,1000,350,15,5,50,1,0.666666667,0,0,1
0.82,0.47,0.60,1000,500,93,5,50,1,1,0.331914894,0,1
0.82,0.47,0.60,400,50,15,5,50,0.333333333,0,0,0,1
0.82,0.47,0.60,400,200,15,5,50,0.333333333,0.333333333,0,0,1
0.83,0.46,0.59,400,50,15,5,35,0.333333333,0,0,0,0.666666667
0.83,0.46,0.59,700,350,15,5,50,0.666666667,0.666666667,0,0,1
0.84,0.45,0.59,700,50,15,5,50,0.666666667,0,0,0,1
0.81,0.46,0.58,400,500,93,5,50,0.333333333,1,0.331914894,0,1
0.83,0.45,0.58,700,500,93,5,50,0.666666667,1,0.331914894,0,1
0.78,0.46,0.58,1000,200,15,5,20,1,0.333333333,0,0,0.333333333
0.80,0.45,0.57,700,350,93,5,50,0.666666667,0.666666667,0.331914894,0,1
0.82,0.44,0.57,1000,50,15,5,35,1,0,0,0,0.666666667
0.81,0.44,0.57,1000,350,93,5,35,1,0.666666667,0.331914894,0,0.666666667
0.81,0.44,0.57,1000,500,171,5,50,1,1,0.663829787,0,1
0.81,0.44,0.57,400,350,93,5,50,0.333333333,0.666666667,0.331914894,0,1
0.81,0.44,0.57,400,200,15,5,35,0.333333333,0.333333333,0,0,0.666666667
0.84,0.43,0.57,1000,200,15,5,50,1,0.333333333,0,0,1
0.80,0.44,0.57,1000,200,93,5,50,1,0.333333333,0.331914894,0,1
0.82,0.43,0.57,1000,500,93,5,35,1,1,0.331914894,0,0.666666667
0.84,0.42,0.57,1000,200,15,5,35,1,0.333333333,0,0,0.666666667
0.81,0.43,0.56,700,500,249,5,50,0.666666667,1,0.995744681,0,1
0.80,0.44,0.56,400,350,171,5,35,0.333333333,0.666666667,0.663829787,0,0.666666667
0.81,0.43,0.56,700,500,93,5,35,0.666666667,1,0.331914894,0,0.666666667
0.82,0.43,0.56,700,200,93,5,50,0.666666667,0.333333333,0.331914894,0,1
0.79,0.44,0.56,700,350,171,5,50,0.666666667,0.666666667,0.663829787,0,1
0.82,0.43,0.56,1000,350,93,5,50,1,0.666666667,0.331914894,0,1
0.78,0.44,0.56,1000,50,15,5,50,1,0,0,0,1
0.87,0.41,0.56,1000,500,15,5,50,1,1,0,0,1
0.84,0.42,0.56,700,500,15,5,35,0.666666667,1,0,0,0.666666667
0.81,0.43,0.56,400,200,93,5,50,0.333333333,0.333333333,0.331914894,0,1
0.79,0.43,0.56,1000,350,171,5,50,1,0.666666667,0.663829787,0,1
0.79,0.43,0.56,700,500,171,5,50,0.666666667,1,0.663829787,0,1
0.81,0.43,0.56,700,200,15,5,35,0.666666667,0.333333333,0,0,0.666666667
0.80,0.43,0.56,400,500,171,5,50,0.333333333,1,0.663829787,0,1
